"filename", "language", "TypeScript JSX", "TypeScript", "Docker", "PostCSS", "JSON", "YAML", "JSON with Comments", "JavaScript", "XML", "Markdown", "Python", "pip requirements", "Prisma", "MS SQL", "comment", "blank", "total"
"/home/chennian/myProjects/Chemistry/frontend/components/ui/hover-card.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/home/chennian/myProjects/Chemistry/frontend/components/ui/input-group.tsx", "TypeScript JSX", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 171
"/home/chennian/myProjects/Chemistry/frontend/components/ui/input.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/home/chennian/myProjects/Chemistry/frontend/components/ui/label.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/chennian/myProjects/Chemistry/frontend/components/ui/popover.tsx", "TypeScript JSX", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 90
"/home/chennian/myProjects/Chemistry/frontend/components/ui/rich-text-editor.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 121
"/home/chennian/myProjects/Chemistry/frontend/components/ui/select.tsx", "TypeScript JSX", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 191
"/home/chennian/myProjects/Chemistry/frontend/components/ui/separator.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/chennian/myProjects/Chemistry/frontend/components/ui/sheet.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 144
"/home/chennian/myProjects/Chemistry/frontend/components/ui/sidebar.tsx", "TypeScript JSX", 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55, 727
